	top_level_mp	genes	n_genes	n_male	n_female	n_nonsexed
long tibia	limbs/digits/tail phenotype,skeleton phenotype	Abce1,Ascc2,Ascc3,Atad2b,Atp8b1,Baiap2l1,Cdk12,Cox6b1,Drg2,Exoc6b,Fam155a,Gp6,Hhipl1,Hyls1,Idh2,Ift122,Klk5,Limk2,Memo1,Micalcl,Micu1,Mpzl2,Ncor2,P2ry14,Pde3b,Ppp4r1,Prdm14,Sacs,Scarf2,Slc52a2,Slc7a2,Taf2,Tmem43,Tnni1,Tnpo2,Top2a,Ubl7,Vps37d,Xiap,Zhx3	40	25	17	12
lordosis	skeleton phenotype	Krt27,Krtap8-1,Mbd1,Rnf14,Zc3h8	5	2	1	2
lymphoid hyperplasia	nan	C9orf72,Zc3h12c	2	1	3	0
lymphoid neoplasms	nan	Lsm10,Setd1a,Slc30a8,Washc3	4	3	3	0
male infertility	reproductive system phenotype	1700029I15Rik,4930451I11Rik,4930590J08Rik,AU040320,Abcg8,Abhd10,Abhd16a,Actl7b,Adad2,Adam5,Adamts15,Adgb,Aimp1,Arhgef15,Arid1b,Armc4,Arrdc5,Atp1a4,Baz1a,Bbof1,Bbox1,Brwd1,Bzw1,Cabcoco1,Camsap3,Catip,Catsper3,Ccdc159,Ccdc189,Ccdc191,Ccdc28a,Ccdc34,Ccnb1ip1,Ccnt2,Cdc34,Cdk4,Cds1,Cep250,Cep41,Cep68,Cep78,Cfap206,Cfap44,Cfap57,Cfap61,Cfap69,Chdh,Chsy3,Cib1,Clpp,Cnot7,Cntd1,Colca2,Cops7a,Cpe,Creld2,Csnk2a2,Cul4a,Cwc27,Cyrib,D1Pas1,Dctd,Ddx19b,Defb20,Dlec1,Dnah17,Dnah2,Dnd1,Dnmt3l,Dpy19l1,Drc7,Dusp7,Dynlrb2,Dynlt2b,Efna5,Egr1,Enkur,Erich2,Ezh1,Fam170a,Fam193a,Fbxo22,Fbxo24,Fbxo38,Fbxo43,Fbxo47,Fbxo7,Fkbp4,Fndc3a,Fndc9,Foxo4,Gas2l1,Gas2l2,Gatm,Gcgr,Gga1,Gh,Gk2,Gnl1,Golga3,H2al2a,H2bl1,Hbs1l,Hddc3,Hectd3,Helq,Herc1,Hipk4,Hook1,Hoxc11,Hsdl2,Hsf5,Hsfy2,Hsp90aa1,Idh3b,Igsf11,Il18rap,Il2rb,Il3,Iqub,Irgc1,Ivl,Jade1,Jam3,Kash5,Katnal2,Kctd19,Kdm3a,Kif9,Kiss1r,Klhl10,Kpna2,L2hgdh,Lca5l,Lep,Lepr,Lipe,Llcfc1,Lmtk2,Lrrc23,Lrrc56,Lrrc71,Lrrcc1,Maats1,Maob,Mcidas,Mkrn2,Mlh1,Mlh3,Mlx,Mmrn1,Mroh9,Nanos2,Nexmif,Nhlh2,Nphp1,Nutm1,Nutm2,Odf4,Ovch2,Pacrg,Papolb,Pcm1,Phf7,Pla2g2c,Pla2g6,Plcb1,Plcb2,Poc1a,Ppp1cc,Ppp2r1b,Ppp3cc,Ppp3r2,Ppp4r1,Pramel12,Pramel13,Prdm14,Primpol,Prkcq,Prmt6,Psma8,Pspc1,Ptger2,Ptpn14,Rad21l,Rec8,Reln,Resf1,Rfx8,Rimklb,Rnf216,Rxfp2,S1pr3,Sbf1,Scaper,Sccpdh,Scube1,Septin10,Serpina5,Setx,Sgms1,Skp2,Slc9a1,Smpd4,Sms,Sox14,Spag17,Spata16,Spata22,Spata6,Spidr,Spink2,Stag3,Stap1,Stk33,Stoml2,Stx2,Styxl1,Sun1,Sun5,Syce1,Syce2,Sypl,Tbc1d20,Tbc1d21,Tbc1d8,Tbccd1,Tcte1,Teddm1a,Tex38,Tg,Tle4,Tmc7,Tmem203,Tmem209,Tmem225,Tmem60,Tpgs2,Trappc2l,Trim37,Trip13,Tsks,Tulp2,Ube2g1,Ube2j1,Ube2j2,Ubl7,Ubn2,Upf3a,Usp15,Usp19,Usp42,Vgf,Vps13a,Vps13b,Wdr11,Wdr62,Wdr78,Wsb2,Zc3hc1,Zcwpw1,Zdhhc19,Zfp541,Zscan21	264	270	0	0
megacolon	digestive/alimentary phenotype	Srpk3,Tmem248	2	3	3	0
membraneous glomerulonephritis	nan	Dgke	1	1	1	0
metaplasia	nan	Dok7,Nr1d1,Slc3a1,Slc9a4	4	3	2	0
microcephaly	growth/size/body region phenotype	Zfp503	1	1	0	0
microphthalmia	vision/eye phenotype	Abhd11,Abhd17c,Acot3,Acvr2a,Adsl,Aff4,Akap13,Aldh1a3,Aloxe3,Ambn,Anapc15,Ankrd52,Ap1s2,Axin2,Bmi1,Bmp4,C1qtnf1,C1qtnf12,Cand1,Cdh10,Cdk4,Cds1,Cep135,Chrnd,Chst2,Cox6b1,Cuta,Dhcr7,Dhx8,Dlgap1,Dnajc5g,Dnase1l3,Dnmt3b,Dync1li1,Dzip1l,Extl3,Faf2,Fam53a,Fgd1,Foxe3,Fsd2,Gins4,Gipc3,Gm10800,Gna15,Gne,Gp2,Gpatch3,Grm3,Grtp1,Hacd1,Hacd3,Hmox1,Id3,Inpp5e,Kbtbd12,Klk13,Luc7l,Mab21l2,Maf,Mark4,Mcl1,Mcts1,Meis3,Micalcl,Mink1,Mllt10,Mmachc,Morc4,Ms4a4a,Mtf1,Mthfd2,Mvk,Naa10,Nav3,Nfil3,Nlrp1a,Nmnat2,Oprl1,Pax6,Pdcd6ip,Pdcd7,Pde11a,Pdk2,Pex6,Phgdh,Pja1,Pla2g2f,Plcb1,Pnkp,Pole2,Prdm4,Psph,Ptp4a1,Pvrig,Pygo2,Rac1,Rb1cc1,Rbm22,Rexo1,Rgl1,Rnf168,Rtl5,Sfmbt2,Snx3,Spred3,Ssr1,Stag1,Stim1,Tacstd2,Tcf21,Tdo2,Tgfbr3,Tmc7,Tmem209,Togaram1,Tprg,Trak2,Ubl7,Vps26c,Vwc2l,Wdr62,Xpo5,Yipf6,Zc3h12b	125	68	135	0
mineralisation	nan	Slc20a2	1	1	1	0
multifocal muscle regeneration	nan	Lpin2,Setd3	2	1	1	0
mydriasis	vision/eye phenotype	Abhd17b,Ccdc191,Diaph3,Dync1li1,Emc8,Fam163a,Fgf7,Grm6,Hps6,Ik,Jmjd1c,Kdm8,Lpcat1,Ncald,Plekha5,Pus1,R3hcc1l,Sdc4,Trpm1,Usp31,Zmat5	21	11	10	4
myeloid hyperplasia	nan	C9orf72,Fabp2	2	1	2	0
myoepithelial hyperplasia	nan	Fabp2	1	1	0	0
nan	nan	Dll1,Mysm1,Phex	3	4	2	0
narrow eye opening	vision/eye phenotype	Barx2,Ctsa,Cyb561,Diaph3,Dmac2l,Dsc2,Frmd6,Kntc1,Mysm1,Plekha5,Prepl,Pus1,Rab3gap2,Rnf168,Sirt1,Slc20a2,Spns2,Spp1,Svep1,Ubac1,Ubl7,Zbtb5	22	11	10	5
neoplasia	nan	Adnp2,Ttc28,Washc3	3	2	2	0
neoplasm	nan	Efna1,Lsm10,Ppp5c,Setd1a,Setdb1,Slc30a8	6	4	3	0
neuritis	nan	Lpin2	1	1	1	0
no spontaneous movement	behavior/neurological phenotype	Ache,Adamts1,Arhgap28,Atg7,Bbip1,Birc6,Ccdc25,Cep290,Cluh,Cnpy2,Dbn1,Dtx4,E2f3,Ebf1,Ebf2,Edem3,Enkur,Fam126a,Fam83h,Fgf3,Fkbp4,Gnptab,Hdac4,Jak3,Katnip,Lgr5,Ltn1,Ncoa2,Npas3,Nxn,Phgdh,Prkab1,Rnf19b,Rnf4,Robo1,Slc25a1,Slc26a9,Stmn2,Strn4,Tomm6	40	29	43	0
obsolete decreased CD4-positive, alpha beta T cell number	nan	Ncf2,Sik3	2	2	0	0
obsolete decreased CD8-positive, alpha beta T cell number	nan	Ncf2	1	1	0	0
obsolete increased CD8-positive, alpha beta T cell number	nan	Tmem127	1	1	1	0
oligodactyly	limbs/digits/tail phenotype	Hsf2bp,Myoz1,Usp12	3	3	0	0
organ specific developmental defect	nan	Ppp2r5c,Tulp3	2	2	1	0
osteopenia	nan	Bhmt,Fmnl3,Miga2,Prdm14,Ptp4a1,Pttg1,Rab39b,Spidr	8	8	12	0
osteopetrosis	nan	Ctsk	1	2	1	0
pale liver	liver/biliary system phenotype	Bloc1s2,Cox5b,Gjb3,Med16,Mthfd2,Myo18a,Pkmyt1,Rexo1,St14,Sufu,Tgfbr3,Vps26c	12	10	7	0
pale placenta	embryo phenotype	Psph	1	0	0	0
pale yolk sac	embryo phenotype	Adar,Alg10b,Aph1a,Asb2,Chchd1,Eng,Folr1,Got2,Gxylt1,Ift52,Ino80b,Krit1,Ly6e,Med1,Med16,Mthfd2,Myo18a,Nog,Nr6a1,Piezo1,Pigq,Pkdcc,Psph,Rad9a,Rb1cc1,Romo1,Scrib,St14,Sufu,Tbx20,Tbx4,Tmem100,Ubp1,Uggt1	34	27	24	0
pallor	integument phenotype	4932438A13Rik,Actg1,Adar,Anapc15,Aph1a,Atp13a1,Cdc42bpb,Chchd1,Coa5,Cox5b,Cox7c,Cul5,Diaph3,Dpf2,Eif4enif1,Exoc6,Folr1,Krit1,Lrp1,Ly6e,Med1,Mmachc,Mthfd2,Myo18a,Piezo1,Pigq,Pkmyt1,Psph,Rad9a,Shmt2,Slc25a1,Snx3,St14,Sufu,Trf,Ubp1,Zfp91	37	24	26	0
persistence of hyaloid vascular system	vision/eye phenotype	1700001O22Rik,Agap1,Agbl1,Akr1d1,Alkbh6,Alox15,Aptx,Atf7,Atn1,Atp11b,Calhm2,Cbx2,Cdsn,Cib3,Cldn13,Clec5a,Clstn1,Coq6,Crabp1,Csnk1g2,Cstf3,Cyba,Dbnl,Dnase1l2,Dnm1l,Dnmbp,Dop1a,Dst,E2f3,Eef1akmt2,Ehmt1,Emilin3,Fads6,Fam160b1,Fam162a,Fancd2,Fpr3,Frmd6,Galk2,Gfpt1,Glyr1,Gstm4,Hipk4,Hmbox1,Hsbp1l1,Ik,Irgc1,Kansl1l,Klf7,Klhl12,Klkb1,Lactb,Lama1,Lss,Mapt,Mettl5,Mfsd1,Mrpl18,Mynn,Myo10,Myo7a,Nadk2,Nbas,Ncoa3,Nr6a1,Nt5dc1,Obp2a,Orc6,Pcdh18,Pcsk1,Pdhx,Pex6,Pip5k1c,Plekha5,Ppfibp2,Prkd2,Ptma,Ptp4a1,Pygo2,R3hcc1l,Rab11a,Rbbp8nl,Rbp4,Rusc1,Rxfp3,Sema3e,Slc25a30,Slc44a3,Sostdc1,Sox30,Spin1,Stx5a,Syde1,Synj1,Tat,Tbc1d5,Tex2,Tgm6,Tmem11,Tomm40,Trf,Trip13,Trp53,Tspan8,Usp38,Vps13b,Wnt2b,Xbp1,Ylpm1,Zbtb12,Zbtb4,Zc3h4,Zfp423,Zfp930	114	60	40	39
polycystic kidney	renal/urinary system phenotype	Acvr2b,Agtr1a,Arih2,Atp8b1,Btbd17,C3ar1,Ccdc88b,Ces1d,Cmpk1,Dnal1,Dspp,Exosc3,Fam72a,Glyr1,Gpa33,Gpr39,H3f3b,Hmx2,Klrb1,Krt2,Mapt,Mrgprb2,Myoz1,Nacc1,Nucb1,Pccb,Pdcd6ip,Plekha8,Plekhm1,Ptgis,Rabgap1,Rnd3,Slc3a1,Tdrp,Wars,Zdhhc5	36	29	23	0
polydactyly	limbs/digits/tail phenotype	Axin2,Cep135,Dzip1l,Fuz,Inpp5e,L3mbtl3,Mmachc,Rab34,Rbm45,Ror2,Tctn3,Togaram1	12	11	11	0
polysyndactyly	limbs/digits/tail phenotype	Pitx1	1	1	1	0
prenatal lethality	mortality/aging	Cnep1r1,Copb2,Cox18,Cox7c,Gfi1b,Ly6e,Mrps18c,Pfdn5,Phgdh,Pitx2,Plod2,Rab40c,Shmt2,Smarcd3,Tm2d1,Tm2d2,Ttc7b,Utp20,Vps26c,Vps36,Wdr59	21	0	0	21
prenatal lethality prior to heart atrial septation	mortality/aging	Alad,Alg6,Armc7,Atp5e,Atxn10,Cdan1,Chmp6,Cox20,Cox5b,Cpsf3,Crispld2,Ctbp2,Ctr9,Ddi2,Dennd4c,Denr,Dhodh,Dhx33,Dnajc8,Dpm1,Erg,Fitm2,Gpx3,Hdgfl1,Hyls1,Iars2,Ino80c,Kif3b,Mapkap1,Mettl14,Morc2a,Mrps5,Mtf1,Mthfd2,Myh10,Naa25,Nans,Nelfa,Nubpl,Orc1,Otulin,Pak1ip1,Pam16,Pdcd2,Pigl,Pkmyt1,Pold3,Polr1b,Rasa3,Riok2,Rnf20,Rnf31,Rttn,Shox2,St14,Stk11ip,Tedc1,Tnnc1,Togaram1,Top2a,Ttbk2,Vps33a,Wdr59,Wdr60,Wrap53,Zc3h13	66	0	0	67
preweaning lethality, complete penetrance	mortality/aging	0610010K14Rik,1700067K01Rik,2610507B11Rik,4932438A13Rik,4933427D14Rik,4933434E20Rik,Aamp,Aars2,Aasdhppt,Abca12,Abce1,Acan,Acbd3,Ace,Ackr3,Acnat2,Actc1,Actr6,Actr8,Acvr1,Adamts3,Adamts6,Adar,Adss,Aebp1,Afdn,Aff4,Ahctf1,Alas1,Aldh1a3,Alg1,Alg11,Alg2,Alg3,Alg8,Alg9,Alkbh1,Aloxe3,Anapc1,Anapc10,Anapc15,Ankfy1,Ankrd11,Ankrd52,Anks3,Anks6,Ap1g1,Ap1s1,Ap2b1,Arf4,Arglu1,Arhgap29,Arhgef18,Arhgef7,Arid2,Arid3a,Arih2,Arl15,Armc2,Armcx3,Arpc1a,Arpc2,Arpc3,Asb2,Asf1a,Ash1l,Atad3a,Atf2,Atf4,Atg13,Atg16l1,Atg3,Atl2,Atp11a,Atp1a3,Atp2a1,Atp2a2,Atp5e,Atp5l,Atp5o,Atp5pb,Atp6v0a4,Atp6v1d,Atp6v1e1,Atpaf2,Atr,Atrip,Atxn10,Atxn7l3,Aurka,Auts2,Avp,B3galnt2,B4gat1,B9d2,BC053393,BC055324,Bag3,Banp,Bap1,Bbs1,Bbs10,Bccip,Bckdhb,Bcl11b,Bclaf1,Bcs1l,Becn1,Bend3,Bloc1s2,Bmp10,Bms1,Bnip1,Bod1,Borcs6,Brap,Brd2,Brd8,Bud23,C1galt1,Cacna1c,Cacna1s,Cad,Camta2,Cand1,Carm1,Casr,Casz1,Cbx2,Ccdc137,Ccdc186,Ccdc59,Ccdc6,Ccnb1,Ccnq,Cct7,Cdc123,Cdc20,Cdc23,Cdc26,Cdc37,Cdc42,Cdc5l,Cdca5,Cdh1,Cdin1,Cdip1,Cdk13,Cdk5rap3,Cdk8,Cdk9,Cdkn1c,Cds2,Cdsn,Celf1,Celf4,Cenpe,Cenph,Cenpl,Cenpo,Cep135,Cep164,Cep43,Cep57l1,Cep83,Cep97,Cfdp1,Cflar,Cgn,Chaf1b,Chchd1,Chd8,Cherp,Chka,Chmp6,Chmp7,Chordc1,Chrna1,Chrnd,Chst11,Chtop,Cinp,Cir1,Clcc1,Clcf1,Clec16a,Clps,Clpx,Clspn,Cmas,Cmip,Cmpk1,Cmtr1,Cmtr2,Cnbp,Cnep1r1,Cnnm2,Cnot10,Cnot4,Cntfr,Cog2,Cog3,Cog7,Cog8,Col27a1,Col4a2,Commd10,Commd9,Coq2,Coq3,Coq4,Coq6,Coq7,Coq8b,Cox15,Cox16,Cox18,Cox7c,Cps1,Cpsf3,Cr1l,Crb2,Crcp,Crim1,Cript,Crls1,Cs,Csf2rb,Cst3,Cstf1,Ctc1,Ctdp1,Ctr9,Ctu2,Cul2,Cul5,Cwc22,Cxadr,Cxcl12,Cyb5b,Cyb5r3,Cyfip2,Cyp11a1,Cyp3a41b,Cyp3a59,Cyp4f39,D930028M14Rik,Daam1,Dach1,Dap3,Dars2,Daxx,Dbf4,Dbn1,Dbr1,Dcaf7,Dcp2,Dcps,Dctn1,Dctn2,Dctn4,Dctn5,Dctn6,Ddah2,Ddc,Ddrgk1,Ddx1,Ddx23,Ddx24,Ddx31,Ddx42,Ddx51,Ddx54,Ddx55,Ddx59,Ddx6,Dennd1a,Dennd4c,Denr,Depdc5,Derl2,Dhcr7,Dhdds,Dhodh,Dhps,Dhx29,Dhx30,Dhx33,Dhx35,Dhx37,Dhx38,Dhx8,Diaph3,Dicer1,Dis3,Dlat,Dlg5,Dlst,Dlx3,Dmap1,Dmxl2,Dnaaf2,Dnajb14,Dnajc13,Dnajc17,Dnajc8,Dnajc9,Dnm1,Dnm1l,Dnmt3b,Dnttip1,Dok7,Dolk,Dph2,Dpm1,Dpm2,Dpm3,Dpp9,Dpy30,Dsc3,Dse,Dsp,Dstn,Dusp12,Dync2h1,Dynll1,Dynlrb1,Dyrk1b,Dzip1l,E2f3,Eaf1,Ect2,Edc4,Edem3,Edn2,Ednra,Eef1d,Eftud2,Ehbp1,Ehbp1l1,Ehmt1,Ehmt2,Eif1ad,Eif2b3,Eif2b4,Eif2s1,Eif3f,Eif3h,Eif3k,Eif4b,Eif4g2,Eif5b,Eipr1,Elac2,Elavl1,Eloa,Elof1,Elp1,Emc3,Emc4,Emc6,Emc8,Eomes,Ep400,Epas1,Epc2,Ercc4,Erf,Ergic1,Esrp1,Etfdh,Etv6,Exoc1,Exoc2,Exoc3l2,Exoc3l4,Exoc4,Exoc6b,Exosc1,Exosc2,Exosc8,Extl3,Ezr,F10,Faf2,Fah,Fam155a,Fam160a1,Fam32a,Fancd2,Fars2,Farsa,Fastkd5,Faxc,Fbxo11,Fcho2,Fdft1,Fdx1,Fermt3,Fgf10,Fgf15,Fgf4,Fgf8,Fgf9,Fgfr1op2,Fhod3,Fignl1,Fis1,Fitm2,Fkbpl,Flii,Flnb,Flvcr2,Fndc3b,Fnta,Fntb,Folr1,Foxo1,Foxp1,Frs2,Fth1,Fubp1,Furin,Fuz,Fxn,Fyn,Fzd2,Fzd5,Fzr1,G3bp2,Gabarapl2,Gabpa,Gabrg2,Gapdh,Gapvd1,Gata2,Gatad2b,Gatb,Gba,Gbf1,Gch1,Gcsh,Gdi2,Gemin5,Get1,Gfi1b,Gfm2,Gfpt1,Ggps1,Gins2,Gjb3,Gjc1,Gldc,Gle1,Glrx3,Gls,Gnao1,Gnaz,Gne,Golga7,Gosr2,Got1,Got2,Gpatch1,Gpbp1,Gpr107,Gpx3,Gpx4,Grb2,Greb1l,Grhl2,Gria2,Gtf2a1,Gtf2e2,Gtf2h2,H13,Hacd1,Hap1,Hapln1,Hars2,Haus4,Hdac1,Hdac3,Hells,Hesx1,Hikeshi,Hlcs,Hmbs,Hmg20a,Hmgcs1,Hnrnpc,Hnrnph1,Hnrnpm,Hoxa2,Hspa5,Hspb11,Hspd1,Idi1,Ier3ip1,Ifng,Ift81,Ift88,Igf2bp1,Ik,Il6st,Ilk,Ino80,Ino80b,Ino80c,Inpp5e,Inpp5k,Ints10,Ints11,Ints12,Ints2,Ints3,Ints7,Ints9,Ipo11,Ipo4,Ipo7,Ippk,Irs1,Irx1,Isca1,Ist1,Isy1,Ivd,Iws1,Jag2,Jmjd6,Jun,Jup,Kansl1,Kansl3,Kat5,Kat8,Katnb1,Kcna10,Kcnj10,Kctd15,Kctd5,Kdm1a,Kdm5a,Kdm5c,Kdm8,Kif18b,Kif1b,Kif20a,Kif21a,Kif26b,Kif28,Kif2c,Kif3b,Kif3c,Kif5a,Kifap3,Kifbp,Kin,Klf7,Klhdc2,Kmt2a,Kmt2c,Knl1,Kri1,Krit1,Krt14,Krt8,Kti12,L3mbtl2,Lama1,Lama5,Lamtor1,Lamtor3,Larp1,Lars,Lcmt1,Lcp1,Lcp2,Ldb3,Lef1,Lefty1,Leo1,Lgi4,Lgr5,Lifr,Lin52,Lipm,Llgl2,Lmna,Lonp1,Lox,Lpar1,Lrp1,Lrr1,Lrrc8a,Lsm8,Lss,Ltv1,Luc7l3,Lum,Lztr1,Mab21l2,Maea,Maf,Mak16,Map2k7,Map3k7,Map7d1,Mapk1,Mars2,Mat2a,Mau2,Mbd5,Mbd6,Mbip,Mccc2,Mcl1,Mcm4,Mcmbp,Mcrs1,Mcu,Mecom,Med1,Med10,Med11,Med16,Med19,Med20,Med22,Med23,Med25,Med28,Meis1,Mepce,Mettl16,Mettl3,Mfn1,Mfn2,Mgat1,Mipep,Mir124a-2,Mir141,Mir143,Mir320,Mir429,Mllt10,Mllt3,Mob2,Mocs2,Mon2,Morc2a,Morc3,Mphosph10,Mphosph8,Mprip,Mrgbp,Mrm3,Mrpl18,Mrpl22,Mrpl23,Mrpl3,Mrpl44,Mrpl47,Mrpl51,Mrpl58,Mrps18c,Mrps21,Mrps22,Mrps25,Mrps5,Msx1,Mtap,Mtch2,Mtf1,Mtif3,Mtor,Mtpap,Mtx2,Mvd,Mybbp1a,Mybl2,Myc,Mycbp2,Myh10,Myl2,Myo18b,Myo1h,Naa35,Naa50,Nadk2,Nae1,Nalcn,Nampt,Nars,Nars2,Nbas,Ncapd3,Ncbp1,Ncbp2,Ncoa5,Ncor2,Ndc80,Ndel1,Ndrg3,Ndufa10,Ndufa8,Ndufa9,Ndufb8,Ndufb9,Ndufs1,Ndufs8,Ndufv1,Nedd1,Nedd4,Nek7,Nek9,Nelfe,Nemf,Nepro,Nf1,Nfatc3,Ngdn,Ngrn,Nhlrc2,Nhp2,Nifk,Nkapd1,Nlk,Nme6,Nmnat2,Noc4l,Nodal,Nog,Nol8,Nol9,Nop10,Notch1,Npas3,Npat,Nploc4,Nr2f1,Nras,Nrbp1,Nrde2,Nrp1,Nsa2,Nsf,Nsl1,Ntrk1,Nubp2,Nubpl,Nufip1,Nup153,Nup155,Nup205,Nup35,Nup85,Nutf2,Nxn,Oas1g,Odc1,Ogdh,Orc1,Orc2,Orc3,Orc6,Osbpl11,Otp,Otub1,Otud7b,Oxsm,Pacs1,Paf1,Paics,Pak2,Palb2,Pam,Pam16,Papola,Pard3,Parg,Patz1,Pax4,Pax5,Pax6,Pax7,Pbrm1,Pbx3,Pccb,Pcgf1,Pcgf2,Pcnp,Pcsk5,Pcx,Pdcd2,Pdcd7,Pde2a,Pdgfrb,Pdhx,Pdia3,Pdia6,Pdss1,Pdss2,Pdxk,Pes1,Pfas,Pfdn1,Pfn1,Pgap1,Pgap2,Pgm1,Pgs1,Phactr4,Phf10,Phf14,Phf6,Phgdh,Pi4ka,Pibf1,Piezo1,Piezo2,Pigc,Pigf,Pigh,Pigl,Pigm,Pigu,Pip5k1c,Pitrm1,Pitx1,Pitx2,Pkd1,Pkdcc,Pkmyt1,Pkn2,Plekhf1,Plod2,Plod3,Plpp3,Pmpca,Pnkp,Podxl,Pola2,Polb,Pold2,Pold3,Pole2,Polg2,Polr1c,Polr1d,Polr2g,Polr2h,Polr2l,Polr3f,Polr3g,Pop4,Pop5,Pop7,Ppa2,Pparg,Ppfia1,Ppil1,Ppme1,Ppox,Ppp1cb,Ppp1r35,Ppp2r2a,Ppp4r2,Ppp6c,Prc1,Prdm10,Prep,Prim1,Prkcsh,Prmt1,Prpf18,Prpf3,Prpf31,Prpf38b,Prpf40a,Prpf4b,Prpf6,Prps1,Prrc2b,Prrc2c,Prss8,Prune1,Psat1,Psen1,Pskh1,Psmc2,Psmc6,Psmd13,Psmd14,Psmd2,Psmd6,Psmf1,Psph,Ptbp2,Ptcd3,Pth1r,Pthlh,Ptk7,Ptma,Ptpn23,Ptprs,Pts,Pum2,Pus7,Pwp1,Pygo2,Qars,Qrsl1,Rab10,Rab11a,Rab1a,Rab21,Rab23,Rab34,Rab35,Rab5c,Rac1,Rad1,Raf1,Ralgapa1,Ralgapb,Ranbp1,Ranbp2,Rapgef1,Rapgef2,Rapsn,Rasa1,Rasa3,Rb1cc1,Rbbp4,Rbfox1,Rbm22,Rbm25,Rbm33,Rbms1,Rbpj,Rbpms,Rbsn,Recql4,Rer1,Rest,Rev3l,Rexo1,Rexo2,Rfc1,Rfc2,Rft1,Rfx6,Rgl1,Rgp1,Rhot1,Ric8a,Ric8b,Rint1,Riok1,Rnaseh2c,Rnasek,Rnf40,Rnmt,Rnpc3,Robo2,Robo3,Romo1,Ror2,Rpa1,Rpain,Rpap3,Rpe,Rpgrip1l,Rpia,Rpl12,Rpn2,Rprd2,Rps12,Rptor,Rrs1,Rsbn1,Rsph3b,Rsu1,Rtf1,Rtn4ip1,Rtraf,Rufy3,Rundc1,Runx1t1,Runx3,Rwdd3,Rxylt1,Ryr1,Ryr2,Sacm1l,Sap18,Sar1b,Sars,Sart1,Satb1,Sbno1,Scamp5,Scn4a,Scnn1b,Scx,Sdha,Sdhaf2,Sdhb,Sdhc,Sec13,Sec22b,Sec24d,Sec62,Sec63,Seh1l,Sel1l,Sema3d,Serf2,Setd5,Setdb1,Sf3b3,Sfmbt2,Sfr1,Sfswap,Sgpl1,Sh3pxd2a,Shh,Six1,Ska2,Slain2,Slbp,Slc12a5,Slc17a6,Slc22a17,Slc25a1,Slc25a12,Slc25a15,Slc25a20,Slc25a3,Slc2a2,Slc35b4,Slc39a10,Slc39a4,Slc39a7,Slc39a8,Slc40a1,Slc5a7,Slc6a5,Slit2,Slmap,Slu7,Smarcc2,Smarcd3,Smc3,Smc5,Smc6,Smg1,Smg5,Smg6,Smg9,Snap23,Snapc1,Snapc2,Snapin,Snrnp200,Snrpb2,Snx13,Snx14,Snx25,Snx3,Socs1,Sox2,Spc25,Spi1,Spin1,Spink5,Spint1,Sptssa,Spty2d1,Sqle,Srbd1,Srd5a3,Srp9,Srprb,Srsf7,Ssbp1,Ssr1,Ssu72,St14,Stag1,Stim1,Stk11ip,Strn3,Stt3b,Stx18,Stx3,Stx5a,Stxbp1,Stxbp5,Sugt1,Supt3,Supt5,Supv3l1,Surf4,Svep1,Syk,Synj1,Synpo2,Tada1,Taf11,Taf12,Taf13,Taf2,Taf5,Taf8,Tango6,Tardbp,Tars2,Tax1bp3,Tbce,Tbx20,Tcerg1,Tcf7l2,Tctn1,Tctn3,Tecr,Tedc2,Telo2,Tent5c,Tfap2b,Tfrc,Tgds,Tgfbr2,Tgfbr3,Tgif2,Th,Thap1,Thbd,Thg1l,Thoc3,Thoc7,Timeless,Timm22,Timm50,Timmdc1,Tiprl,Tm2d3,Tm9sf3,Tmed10,Tmem115,Tmem131,Tmem147,Tmem161b,Tmem30a,Tmem41b,Tmem63b,Tmem67,Tmem98,Tmx2,Tnnc1,Tnni1,Tnni2,Toe1,Togaram1,Tomm20,Tomm22,Tomm40,Tomm70a,Top3a,Tor1a,Tor1aip1,Tox4,Tpk1,Tpr,Tpx2,Traf2,Traf6,Trappc1,Trappc11,Trf,Trim45,Trim71,Trit1,Trp53bp2,Trpc3,Trpm7,Trps1,Trrap,Trub2,Tsen54,Tsfm,Tsg101,Tspan14,Tspyl1,Ttbk2,Ttc1,Ttc26,Ttc7,Ttc7b,Tti2,Ttk,Tubgcp4,Tulp3,U2surp,Uba2,Ubap1,Ubc,Ube2c,Ube2f,Ube2i,Ube2m,Ubiad1,Ubr4,Ubtf,Uchl5,Ufm1,Ufsp2,Uggt1,Unc45a,Unc5c,Uqcrb,Uqcrq,Urm1,Usp10,Usp14,Usp22,Usp32,Usp37,Usp5,Usp50,Utp20,Utp4,Vangl2,Vcan,Vezt,Vgll4,Virma,Vps11,Vps26c,Vps33b,Vps35,Vps51,Vps53,Vps72,Vrk1,Wac,Wars,Wars2,Wasf2,Washc2,Washc4,Wdfy3,Wdhd1,Wdr12,Wdr18,Wdr24,Wdr36,Wdr74,Wdr81,Wnt3,Wrap53,Xbp1,Xpo1,Xpo5,Xrcc3,Xylt1,Yae1d1,Yap1,Yeats2,Yipf5,Ykt6,Ylpm1,Zbtb24,Zc3h11a,Zc3h13,Zc3h4,Zfc3h1,Zfp207,Zfp236,Zfp281,Zfp407,Zfp423,Zfp503,Zfp536,Zfp830,Zkscan17,Zmat5,Zmiz2,Zmynd8,Znhit1,Znhit6,Zwilch,Zwint	1295	0	0	1327
